Product,tradingDate,weekDay,description,Sr_no,morning_session,evening_session
Interest Rate Derivatives,05-Nov-2025,Wednesday,Prakash Gurpurb Sri Guru Nanak Dev,22,,
Interest Rate Derivatives,25-Dec-2025,Thursday,Christmas,23,,
Mutual Funds,26-Jan-2025,Sunday,Republic Day,1,,
Mutual Funds,26-Feb-2025,Wednesday,Mahashivratri,2,,
Mutual Funds,14-Mar-2025,Friday,Holi,3,,
Mutual Funds,31-Mar-2025,Monday,Id-Ul-Fitr (Ramadan Eid),4,,
Mutual Funds,06-Apr-2025,Sunday,Shri Ram Navami,5,,
Mutual Funds,10-Apr-2025,Thursday,Shri Mahavir Jayanti,6,,
Mutual Funds,14-Apr-2025,Monday,Dr. Baba Saheb Ambedkar Jayanti,7,,
Mutual Funds,18-Apr-2025,Friday,Good Friday,8,,
Mutual Funds,01-May-2025,Thursday,Maharashtra Day,9,,
Mutual Funds,07-Jun-2025,Saturday,Bakri Id,10,,
Mutual Funds,06-Jul-2025,Sunday,Muharram,11,,
Mutual Funds,15-Aug-2025,Friday,Independence Day / Parsi New Year,12,,
Mutual Funds,27-Aug-2025,Wednesday,Shri Ganesh Chaturthi,13,,
Mutual Funds,02-Oct-2025,Thursday,Mahatma Gandhi Jayanti/Dussehra,14,,
Mutual Funds,21-Oct-2025,Tuesday,Diwali Laxmi Pujan,15,,
Mutual Funds,22-Oct-2025,Wednesday,Balipratipada,16,,
Mutual Funds,05-Nov-2025,Wednesday,Prakash Gurpurb Sri Guru Nanak Dev,17,,
Mutual Funds,25-Dec-2025,Thursday,Christmas,18,,
New Debt Segment,26-Jan-2025,Sunday,Republic Day,1,,
New Debt Segment,19-Feb-2025,Wednesday,Chhatrapati Shivaji Maharaj Jayanti,2,,
New Debt Segment,26-Feb-2025,Wednesday,Mahashivratri,3,,
New Debt Segment,14-Mar-2025,Friday,Holi,4,,
New Debt Segment,30-Mar-2025,Sunday,Gudi Padwa,5,,
New Debt Segment,31-Mar-2025,Monday,Id-Ul-Fitr (Ramadan Eid),6,,
New Debt Segment,01-Apr-2025,Tuesday,Annual Bank Closing,7,,
New Debt Segment,06-Apr-2025,Sunday,Shri Ram Navami,8,,
New Debt Segment,10-Apr-2025,Thursday,Shri Mahavir Jayanti,9,,
New Debt Segment,14-Apr-2025,Monday,Dr. Baba Saheb Ambedkar Jayanti,10,,
New Debt Segment,18-Apr-2025,Friday,Good Friday,11,,
New Debt Segment,01-May-2025,Thursday,Maharashtra Day,12,,
New Debt Segment,12-May-2025,Monday,Buddha Pournima,13,,
New Debt Segment,07-Jun-2025,Saturday,Bakri Id,14,,
New Debt Segment,06-Jul-2025,Sunday,Muharram,15,,
New Debt Segment,15-Aug-2025,Friday,Independence Day / Parsi New Year,16,,
New Debt Segment,27-Aug-2025,Wednesday,Shri Ganesh Chaturthi,17,,
New Debt Segment,05-Sep-2025,Friday,Id-E-Milad,18,,
New Debt Segment,02-Oct-2025,Thursday,Mahatma Gandhi Jayanti/Dussehra,19,,
New Debt Segment,21-Oct-2025,Tuesday,Diwali Laxmi Pujan,20,,
New Debt Segment,22-Oct-2025,Wednesday,Balipratipada,21,,
New Debt Segment,05-Nov-2025,Wednesday,Prakash Gurpurb Sri Guru Nanak Dev,22,,
New Debt Segment,25-Dec-2025,Thursday,Christmas,23,,
Negotiated Trade Reporting Platform,26-Jan-2025,Sunday,Republic Day,1,,
Negotiated Trade Reporting Platform,19-Feb-2025,Wednesday,Chhatrapati Shivaji Maharaj Jayanti,2,,
Negotiated Trade Reporting Platform,26-Feb-2025,Wednesday,Mahashivratri,3,,
Negotiated Trade Reporting Platform,14-Mar-2025,Friday,Holi,4,,
Negotiated Trade Reporting Platform,30-Mar-2025,Sunday,Gudi Padwa,5,,
Negotiated Trade Reporting Platform,31-Mar-2025,Monday,Id-Ul-Fitr (Ramadan Eid),6,,
Negotiated Trade Reporting Platform,01-Apr-2025,Tuesday,Annual Bank Closing,7,,
Negotiated Trade Reporting Platform,06-Apr-2025,Sunday,Shri Ram Navami,8,,
Negotiated Trade Reporting Platform,10-Apr-2025,Thursday,Shri Mahavir Jayanti,9,,
Negotiated Trade Reporting Platform,14-Apr-2025,Monday,Dr. Baba Saheb Ambedkar Jayanti,10,,
Negotiated Trade Reporting Platform,18-Apr-2025,Friday,Good Friday,11,,
Negotiated Trade Reporting Platform,01-May-2025,Thursday,Maharashtra Day,12,,
Negotiated Trade Reporting Platform,12-May-2025,Monday,Buddha Pournima,13,,
Negotiated Trade Reporting Platform,07-Jun-2025,Saturday,Bakri Id,14,,
Negotiated Trade Reporting Platform,06-Jul-2025,Sunday,Muharram,15,,
Negotiated Trade Reporting Platform,15-Aug-2025,Friday,Independence Day / Parsi New Year,16,,
Negotiated Trade Reporting Platform,27-Aug-2025,Wednesday,Shri Ganesh Chaturthi,17,,
Negotiated Trade Reporting Platform,05-Sep-2025,Friday,Id-E-Milad,18,,
Negotiated Trade Reporting Platform,02-Oct-2025,Thursday,Mahatma Gandhi Jayanti/Dussehra,19,,
Negotiated Trade Reporting Platform,21-Oct-2025,Tuesday,Diwali Laxmi Pujan,20,,
Negotiated Trade Reporting Platform,22-Oct-2025,Wednesday,Balipratipada,21,,
Negotiated Trade Reporting Platform,05-Nov-2025,Wednesday,Prakash Gurpurb Sri Guru Nanak Dev,22,,
Negotiated Trade Reporting Platform,25-Dec-2025,Thursday,Christmas,23,,
Securities Lending & Borrowing Schemes,26-Jan-2025,Sunday,Republic Day,1,,
Securities Lending & Borrowing Schemes,26-Feb-2025,Wednesday,Mahashivratri,2,,
Securities Lending & Borrowing Schemes,14-Mar-2025,Friday,Holi,3,,
Securities Lending & Borrowing Schemes,31-Mar-2025,Monday,Id-Ul-Fitr (Ramadan Eid),4,,
Securities Lending & Borrowing Schemes,06-Apr-2025,Sunday,Shri Ram Navami,5,,
Securities Lending & Borrowing Schemes,10-Apr-2025,Thursday,Shri Mahavir Jayanti,6,,
Securities Lending & Borrowing Schemes,14-Apr-2025,Monday,Dr. Baba Saheb Ambedkar Jayanti,7,,
Securities Lending & Borrowing Schemes,18-Apr-2025,Friday,Good Friday,8,,
Securities Lending & Borrowing Schemes,01-May-2025,Thursday,Maharashtra Day,9,,
Securities Lending & Borrowing Schemes,07-Jun-2025,Saturday,Bakri Id,10,,
Securities Lending & Borrowing Schemes,06-Jul-2025,Sunday,Muharram,11,,
Securities Lending & Borrowing Schemes,15-Aug-2025,Friday,Independence Day / Parsi New Year,12,,
Securities Lending & Borrowing Schemes,27-Aug-2025,Wednesday,Shri Ganesh Chaturthi,13,,
Securities Lending & Borrowing Schemes,02-Oct-2025,Thursday,Mahatma Gandhi Jayanti/Dussehra,14,,
Securities Lending & Borrowing Schemes,21-Oct-2025,Tuesday,Diwali Laxmi Pujan,15,,
Securities Lending & Borrowing Schemes,22-Oct-2025,Wednesday,Balipratipada,16,,
Securities Lending & Borrowing Schemes,05-Nov-2025,Wednesday,Prakash Gurpurb Sri Guru Nanak Dev,17,,
Securities Lending & Borrowing Schemes,25-Dec-2025,Thursday,Christmas,18,,
